iter	Logloss
0	0.677661531
1	0.6670427145
2	0.6580793749
3	0.6466738542
4	0.6399078152
5	0.6317453734
6	0.6234426977
7	0.6174328489
8	0.6107683541
9	0.6054038631
10	0.600053271
11	0.5927073509
12	0.5903218146
13	0.5851419144
14	0.5804031397
15	0.5747289661
16	0.5668658223
17	0.5635629884
18	0.5585364554
19	0.553635466
20	0.5499884529
21	0.5473601946
22	0.5422877679
23	0.5386188345
24	0.536057458
25	0.5313613223
26	0.5298909759
27	0.5261230989
28	0.5216642923
29	0.5192601175
30	0.5160049737
31	0.5121054268
32	0.5094423948
33	0.5066219762
34	0.5027656928
35	0.4982019277
36	0.4961692451
37	0.4943260653
38	0.4916710937
39	0.4899233044
40	0.4873642218
41	0.4855543521
42	0.4832364044
43	0.4805340945
44	0.4786945807
45	0.4733011536
46	0.4723086519
47	0.4702205867
48	0.4672316954
49	0.4631803514
50	0.4608885685
51	0.4595564651
52	0.4588181509
53	0.4557649633
54	0.4542503709
55	0.4531123325
56	0.4501836356
57	0.4479143471
58	0.4452839884
59	0.4444188068
60	0.4411530372
61	0.4379923454
62	0.436907399
63	0.4353888373
64	0.4324426452
65	0.428419354
66	0.4243538113
67	0.4227218581
68	0.4200215097
69	0.4173884989
70	0.4147176485
71	0.412619011
72	0.4108795415
73	0.4080359317
74	0.4049272664
75	0.4033409232
76	0.4006468933
77	0.3999220779
78	0.3972149593
79	0.3961039522
80	0.3936987823
81	0.3906815391
82	0.3884337124
83	0.3875485955
84	0.3860751138
85	0.3845522555
86	0.3819489944
87	0.3798824214
88	0.377711664
89	0.3757931781
90	0.3739709591
91	0.3711570629
92	0.3698219462
93	0.3686678419
94	0.3667399411
95	0.3644493517
96	0.3611393831
97	0.3599985802
98	0.3583465333
99	0.3579888544
