iter	Passed	Remaining
0	74	7395
1	94	4618
2	114	3705
3	126	3047
4	137	2606
5	147	2311
6	159	2120
7	169	1944
8	179	1818
9	191	1726
10	202	1639
11	223	1639
12	232	1557
13	243	1497
14	252	1428
15	262	1378
16	275	1343
17	291	1326
18	299	1276
19	310	1241
20	320	1207
21	331	1176
22	343	1150
23	357	1130
24	371	1115
25	382	1089
26	394	1067
27	411	1057
28	422	1033
29	433	1011
30	446	994
31	465	988
32	504	1024
33	515	1000
34	525	975
35	536	954
36	547	932
37	559	912
38	575	900
39	589	883
40	605	871
41	619	854
42	633	839
43	648	825
44	670	819
45	687	807
46	699	788
47	706	765
48	712	741
49	717	717
50	722	694
51	725	669
52	739	655
53	747	636
54	756	618
55	765	601
56	775	584
57	789	571
58	799	555
59	812	541
60	828	529
61	837	513
62	843	495
63	848	477
64	853	459
65	857	441
66	861	424
67	865	407
68	874	392
69	882	378
70	890	363
71	895	348
72	905	334
73	913	320
74	941	313
75	953	301
76	964	288
77	972	274
78	980	260
79	989	247
80	993	232
81	997	219
82	1002	205
83	1008	192
84	1013	178
85	1017	165
86	1030	153
87	1036	141
88	1047	129
89	1054	117
90	1068	105
91	1073	93
92	1081	81
93	1095	69
94	1127	59
95	1132	47
96	1138	35
97	1143	23
98	1147	11
99	1173	0
